Author,Quote,URL
Антуан де Сент-Экзюпери,"Истина — не то, что доказуемо, истина — это простота.",http://forismatic.com/ru/06da685f7f/
Антуан де Сент-Экзюпери,"В человеке я люблю свет. Толщина свечи меня не волнует. Пламя скажет мне, хороша ли свеча...",http://forismatic.com/ru/8e6da4a831/
Брайан Трейси,"Вы можете иметь все, о чем способны думать постоянно.",http://forismatic.com/ru/b793aa753d/
Будда Гаутама Шакьямуни,"Трепещущую, дрожащую мысль, легко уязвимую и с трудом сдерживаемую, мудрец направляет, как лучник стрелу. ",http://forismatic.com/ru/b0eece5463/
Вантала,"Вода в реке всегда течет прямо, как бы извилисто не было русло.",http://forismatic.com/ru/d560df200c/
Вольтер,"Откапывая ошибки, теряют время, которое употребили бы, быть может, на открытие истин. ",http://forismatic.com/ru/0924f11c23/
Восточная мудрость,"Чтобы управлять собой, используй свою голову; Чтобы обращаться с другими, используй свое сердце. ",http://forismatic.com/ru/4e9ab999a4/
Габриель Гарсиа Маркес,"Худший способ скучать по человеку — это быть с ним и понимать, что он никогда не будет твоим. ",http://forismatic.com/ru/40e6115f79/
Джордано Бруно,"Капля долбит камень не силою, а часто падая. ",http://forismatic.com/ru/74e2ad1bcb/
Джордж Оруэлл,"Люди могут быть счастливы, лишь при условии, что они не считают счастье целью жизни. ",http://forismatic.com/ru/a703b0d32f/
Дипак Чопра,Отдавание и получение — всего лишь различные аспекты потока энергии во Вселенной. ,http://forismatic.com/ru/2fc8844054/
Дипак Чопра,"Непривязанность опирается на абсолютную уверенность в силе вашего истинного Я. С другой стороны, в основе привязанности лежит страх и чувство неуверенности. ",http://forismatic.com/ru/aabd8a7b05/
Калвин Кулидж,"Я никогда не имел неприятностей из-за того, чего я не сказал. ",http://forismatic.com/ru/b69225fa6b/
Курций Руф Квинт,Торопливость задерживает. ,http://forismatic.com/ru/c1e7e29aac/
Лев Толстой,"Не думай, чтобы мудрыми могли быть только особенные люди. Мудрость нужна всем людям, и потому все люди могут быть мудрыми. Мудрость — в том, чтобы знать, в чем дело жизни и как исполнять его. А чтобы узнать его, нужно только одно: помнить, что мысль — великое дело, и потому — думать.",http://forismatic.com/ru/12979013bd/
Лев Толстой,"Из всякого трудного положения сейчас же выйдешь, если только вспомнишь, что живешь не телом, а душою, вспомнишь, что в тебе есть то, что сильнее всего на свете.",http://forismatic.com/ru/c51ca89079/
Лев Толстой,"Красноречие, точно жемчуг, блещет содержанием. Настоящая мудрость немногословна.",http://forismatic.com/ru/e9bc75cc07/
Лев Толстой,Все дело в мыслях. Мысль — начало всего. И мыслями можно управлять. И потому главное дело совершенствования: работать над мыслями.,http://forismatic.com/ru/42b0bbacf4/
Лев Толстой,"Если жизнь людей не радостна, то это только оттого, что они не делают того, что нужно для того, чтобы жизнь была не перестающей радостью.",http://forismatic.com/ru/7c2ab7a041/
Мольер,От книжной мудрости глупец тупее вдвое. ,http://forismatic.com/ru/8638b50de5/
Ричард Каупер,"Разнообразие — та самая приправа к жизни, которая придает ей весь аромат. ",http://forismatic.com/ru/996ab9317d/
Робин Шарма,"Творчество приходит тогда, когда вы расслаблены, счастливы и наслаждаетесь настоящим. ",http://forismatic.com/ru/5686bcc746/
Соломон,"Доброе имя лучше большого богатства, и добрая слава лучше серебра и золота.",http://forismatic.com/ru/6b710e2eba/
Тайлер Дёрден,"Ты — это не твоя работы, не твои деньги в банке, твоя машина, твой бумажник и твоя одежда. ",http://forismatic.com/ru/2270787233/
Уильям Филдс,"Если вы не добились успеха сразу, попытайтесь еще и еще раз. А потом успокойтесь и живите в свое удовольствие. ",http://forismatic.com/ru/c204bbb1fa/
Уильям Шекспир,"Все влюбленные клянутся исполнить больше, чем могут, и не исполняют даже возможного. ",http://forismatic.com/ru/4cd0ecb92f/
Харуки Мураками,"Тело — лишь одна из гипотез о том, что такое «я». ",http://forismatic.com/ru/f9d96e33a0/
Чак Норрис,"Оставайтесь открытыми к изучению новых идей. Иногда то, что кажется отклонением от пути, оказывается кратчайшей тропой к вашей цели. ",http://forismatic.com/ru/e77a37e16d/
Чак Норрис,"Найдите в себе решимость узнать в своей области больше, чем кто-либо еще, и делайте все, что сочтёте нужным. ",http://forismatic.com/ru/6dbe769a71/
Чжуан Цзы,"Мудрец закрытым держит рот, он знает, что и свеча от языка сгорает.",http://forismatic.com/ru/40190f84c1/
Шакти Гавэйн,"Мы вносим вклад в этот мир уже тем, что в каждое мгновение являемся самими собой. ",http://forismatic.com/ru/26124dc828/
Юлий Цезарь,"Великие дела нужно совершать, а не обдумывать их бесконечно.",http://forismatic.com/ru/9cda1a02b5/
к/ф «Бэтмен»,"Люди падают, чтобы научиться подниматься. ",http://forismatic.com/ru/b8810baa8b/
